TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-177,Foster/California,2017,Current Obligations,Program administration,-500,03/05/2014,12/31/2038
T-173,Montrose/Clarendon,2017,Current Obligations,Program administration,-6400,06/30/2010,12/31/2034
T-180,Red Purple Transit,2017,Current Obligations,Program administration,-120400,11/20/2016,12/31/2052
T-180,Red Purple Transit,2017,Current Obligations,CTA IGA Red Purple Modernization,-3403800,11/20/2016,12/31/2052
T-179,Diversey Chicago River,2017,Current Obligations,Bridge repairs - Diversey Parkway,-200000,10/05/2016,12/31/2040
T-176,107th/Halsted,2017,Current Obligations,Program administration,-13200,03/05/2014,12/31/2038
T-176,107th/Halsted,2017,Current Obligations,Retail Thrive Zone,-600000,03/05/2014,12/31/2038
T-174,67th/Wentworth,2017,Current Obligations,Retail Thrive Zone,-1125000,05/04/2011,12/31/2035
T-178,Washington Park,2017,Current Obligations,Small Business Improvement Fund,-300000,10/08/2014,12/31/2038
T-178,Washington Park,2017,Current Obligations,Delegate Agencies,-2200,10/08/2014,12/31/2038
T-172,Randolph/Wells,2017,Current Obligations,Program administration,-11100,06/09/2010,12/31/2034
T-177,Foster/California,2017,Current Obligations,RA - Swedish Covenant Hospital,-926700,03/05/2014,12/31/2038
T-177,Foster/California,2017,Current Obligations,Traffic signal - Foster/Washtenaw,-375000,03/05/2014,12/31/2038
T-175,51st/Lake Park,2017,Current Obligations,Program administration,-3400,11/15/2012,12/31/2036
T-178,Washington Park,2017,Current Obligations,Program administration,-7900,10/08/2014,12/31/2038
T-171,West Woodlawn,2017,Current Obligations,Small Business Improvement Fund,-250000,05/12/2010,12/31/2034
T-171,West Woodlawn,2017,Current Obligations,Delegate Agencies,-1500,05/12/2010,12/31/2034
T-088,Lawrence/Kedzie,2017,Current Obligations,Program administration,-122200,02/16/2000,12/31/2024
T-087,Fullerton/Milwaukee,2017,Current Obligations,RA - Logan Theater,-200000,02/16/2000,12/31/2024
T-087,Fullerton/Milwaukee,2017,Current Obligations,Small Business Improvement Fund,-500000,02/16/2000,12/31/2024
T-057,Jefferson Park Business District,2017,Current Obligations,CTA IGA - Blue Line - Jefferson Park Station - station improvements,-5000000,09/09/1998,09/09/2021
T-013,Bryn Mawr/Broadway,2017,Current Obligations,Small Business Improvement Fund,-500000,12/11/1996,12/11/2019
T-056,79th Street Corridor,2017,Current Obligations,Vision Zero - design,-5000,07/08/1998,07/08/2021
T-056,79th Street Corridor,2017,Current Obligations,Small Business Improvement Fund,-500000,07/08/1998,07/08/2021
T-056,79th Street Corridor,2017,Current Obligations,Enviromental study - Auburn Metra station,-15000,07/08/1998,07/08/2021
T-055,43rd/Cottage Grove,2017,Current Obligations,Retail Thrive Zone,-625000,07/08/1998,12/31/2022
T-055,43rd/Cottage Grove,2017,Current Obligations,Program administration,-56300,07/08/1998,12/31/2022
T-055,43rd/Cottage Grove,2017,Current Obligations,Park District IGA - Sumac Park,-350000,07/08/1998,12/31/2022
T-055,43rd/Cottage Grove,2017,Current Obligations,Delegate Agencies,-6500,07/08/1998,12/31/2022
T-088,Lawrence/Kedzie,2017,Current Obligations,Delegate Agencies,-5200,02/16/2000,12/31/2024
T-086,Central West,2017,Current Obligations,Kinzie Industrial Modernization Study,-437000,02/16/2000,12/31/2024
T-088,Lawrence/Kedzie,2017,Current Obligations,Park District IGA - Kiwanis Park Field Turf,-475000,02/16/2000,12/31/2024
T-087,Fullerton/Milwaukee,2017,Current Obligations,MSAC DS - Lorca,-3099200,02/16/2000,12/31/2024
T-088,Lawrence/Kedzie,2017,Current Obligations,Walk to Transit - Phase I/II - construction,-2600,02/16/2000,12/31/2024
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,Street resurfacing - 9700-9800 University Av; sidewalks - 8400-8500 Stony Island,-380000,06/10/1998,12/31/2034
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,Small Business Improvement Fund,-250000,06/10/1998,12/31/2034
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,RA - A Finkl & Sons Co,-1000000,06/10/1998,12/31/2034
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2017,Current Obligations,Program administration,-61500,06/10/1998,12/31/2034
