TIF Number,TIF Name,Tme Period,Type,Description,Amount,Designation Date,Expiration Date
T-111,105th/Vincennes,2022,Current Obligations,Program Administration,-14000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Revenue,Property tax,1705000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Revenue,Property Tax - 2022 - Collection Variance,-527000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Proposed Projects,AIS - Fire Hook And Ladder 24 - 10400 S Vincennes Ave,-200000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Proposed Projects,AIS - Library - West Pullman - 830 W 119th St,-200000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Current Obligations,CDOT - Residential St Resurfacing - Ward 34,13300,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Current Obligations,"IGA - CPD - Park 0065 - Fernwood Park - Pool Building – Major Renovation: Roof, Tuck, Masonry, Boiler",-650000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Current Obligations,Program Administration,-14400,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Revenue,Property tax,1705000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Current Obligations,SBIF,-500000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-3666600,10/03/2001,12/31/2025
T-111,105th/Vincennes,2024,Current Obligations,Program Administration,-14900,10/03/2001,12/31/2025
T-111,105th/Vincennes,2024,Revenue,Property tax,1705000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2024,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-1833300,10/03/2001,12/31/2025
T-111,105th/Vincennes,2025,Current Obligations,Program Administration,-15300,10/03/2001,12/31/2025
T-111,105th/Vincennes,2025,Revenue,Property tax,1972300,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Current Obligations,CDOT - ADA Polling Place - Fernwood/Evers Schools,-159100,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Current Obligations,CDOT - Residential St Resurfacing - Ward 34,-13300,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Fund Balance,FY 2021 Year End Available Fund Balance,4566000,10/03/2001,12/31/2025
T-176,107th/Halsted,2022,Current Obligations,Program Administration,-6800,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Revenue,Property tax,973300,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Revenue,Property Tax - 2022 - Collection Variance,-426400,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Current Obligations,Retail Thrive Zone,-20000,03/05/2014,12/31/2038
