,TIF,Year,Amount
266,105th Street and Vincennes Avenue,2019,706800.0
500,105th Street and Vincennes Avenue,2023,-3666600.0
578,105th Street and Vincennes Avenue,2024,-1833300.0
59,105th Street and Vincennes Avenue,2017,706800.0
199,105th Street and Vincennes Avenue,2018,706800.0
579,107th/Halsted,2024,1400000.0
628,107th/Halsted,2025,1400000.0
2,107th/Halsted,2017,600000.0
501,107th/Halsted,2023,1400000.0
648,107th/Halsted,2026,1000000.0
249,111th Street/Kedzie Avenue Business District,2019,-1000000.0
47,111th Street/Kedzie Avenue Business District,2017,-500000.0
147,111th Street/Kedzie Avenue Business District,2018,-500000.0
368,116th/Avenue O,2021,4512000.0
502,116th/Avenue O,2023,5088000.0
424,119th and Halsted,2022,-1000000.0
503,119th and Halsted,2023,-2333400.0
580,119th and Halsted,2024,-1166700.0
169,119th Street/I-57,2018,-706800.0
581,119th Street/I-57,2024,-1400000.0
200,119th Street/I-57,2018,-331100.0
272,119th Street/I-57,2019,-706800.0
103,119th Street/I-57,2017,-600000.0
629,119th Street/I-57,2025,-1400000.0
649,119th Street/I-57,2026,-1000000.0
504,119th Street/I-57,2023,-1400000.0
90,119th Street/I-57,2017,-706800.0
50,24th/Michigan,2017,4310000.0
505,24th/Michigan,2023,-3750000.0
248,24th/Michigan,2019,17000000.0
630,24th/Michigan,2025,3750000.0
509,35th/Halsted,2023,-1369400.0
211,35th/Halsted,2019,-600000.0
212,35th/Halsted,2019,-400000.0
213,35th/Halsted,2019,-200000.0
508,35th/Halsted,2023,-550000.0
210,35th/Halsted,2019,-1400000.0
312,35th/Halsted,2020,-4500000.0
507,35th/Halsted,2023,4500000.0
510,35th/Halsted,2023,-400000.0
511,35th/Halsted,2023,-6840000.0
313,35th/Halsted,2020,-800000.0
512,35th/Halsted,2023,-1262100.0
314,35th/Halsted,2020,-5770000.0
426,35th/State,2022,6000000.0
427,43rd Street/Cottage Grove Avenue,2022,20000000.0
631,47th/Ashland,2025,3833300.0
582,47th/Ashland,2024,6833300.0
100,47th/Halsted,2017,-2500000.0
178,47th/Halsted,2018,-1587500.0
632,47th/Halsted,2025,-3833300.0
271,47th/Halsted,2019,-1587500.0
583,47th/Halsted,2024,-6833300.0
150,47th and King Drive,2018,-400000.0
270,47th and King Drive,2019,-3000000.0
345,47th and King Drive,2020,-3000000.0
111,47th and King Drive,2018,-3000000.0
99,47th and King Drive,2017,-300000.0
108,47th and King Drive,2018,-1400000.0
428,47th and King Drive,2022,-20000000.0
269,47th and King Drive,2019,-1400000.0
201,47th and King Drive,2018,-600000.0
261,51st/Archer,2019,1000000.0
94,51st/Archer,2017,1922500.0
429,51st/Archer,2022,164300.0
98,51st/Archer,2017,3315500.0
369,51st/Archer,2021,806000.0
337,51st/Archer,2020,2605000.0
159,51st/Archer,2018,2641000.0
152,51st/Archer,2018,11345700.0
279,63rd/Ashland,2019,-570000.0
115,63rd/Ashland,2018,-45000.0
278,63rd/Ashland,2019,800000.0
61,63rd/Ashland,2017,-500000.0
205,63rd/Pulaski,2018,-2641000.0
338,63rd/Pulaski,2020,-2605000.0
75,63rd/Pulaski,2017,-1922500.0
370,63rd/Pulaski,2021,-806000.0
262,63rd/Pulaski,2019,-1000000.0
430,63rd/Pulaski,2022,-164300.0
165,67th/Cicero,2018,-976500.0
431,67th and Wentworth,2022,100000.0
139,67th and Wentworth,2018,45000.0
584,67th and Wentworth,2024,750000.0
3,67th and Wentworth,2017,625000.0
5,67th and Wentworth,2017,500000.0
307,67th and Wentworth,2019,570000.0
586,71st & Stony Island,2024,-5003600.0
234,71st & Stony Island,2019,3000000.0
120,71st & Stony Island,2018,2000000.0
190,71st & Stony Island,2018,2750000.0
323,71st & Stony Island,2020,22600.0
192,71st & Stony Island,2018,1000000.0
585,71st & Stony Island,2024,750000.0
235,71st & Stony Island,2019,5000000.0
434,71st & Stony Island,2022,-2694600.0
513,71st & Stony Island,2023,750000.0
39,71st & Stony Island,2017,1823200.0
29,71st & Stony Island,2017,1892700.0
514,71st & Stony Island,2023,-2501800.0
433,71st & Stony Island,2022,2000000.0
38,71st & Stony Island,2017,1851100.0
432,71st & Stony Island,2022,5000.0
37,71st & Stony Island,2017,-500000.0
282,73rd/University,2019,-750000.0
68,73rd/University,2017,-625000.0
588,79th Street Corridor,2024,1000000.0
515,79th Street Corridor,2023,3766700.0
516,79th Street Corridor,2023,500000.0
587,79th Street Corridor,2024,7533400.0
233,79th Street Corridor,2019,-1000000.0
517,79th Street Corridor,2023,1000000.0
589,79th Street/Southwest Highway,2024,-7533400.0
518,79th Street/Southwest Highway,2023,-3766700.0
590,79th/Vincennes,2024,-1000000.0
66,79th/Vincennes,2017,-625000.0
290,79th/Vincennes,2019,1000000.0
519,79th/Vincennes,2023,-500000.0
71,87th/Cottage Grove,2017,500000.0
209,87th/Cottage Grove,2018,-1000000.0
592,87th/Cottage Grove,2024,-750000.0
520,87th/Cottage Grove,2023,-750000.0
435,87th/Cottage Grove,2022,-100000.0
591,87th/Cottage Grove,2024,-750000.0
86,87th/Cottage Grove,2017,-1892700.0
273,87th/Cottage Grove,2019,750000.0
72,87th/Cottage Grove,2017,625000.0
144,95th & Western,2018,-1000000.0
215,95th & Western,2019,1200000.0
36,95th & Western,2017,-1000000.0
288,Addison South,2019,-176000.0
123,Addison South,2018,-5000.0
89,Addison South,2017,-200000.0
298,Archer/Western,2019,400000.0
524,Archer/Western,2023,550000.0
297,Archer/Western,2019,600000.0
296,Archer/Western,2019,1400000.0
523,Archer/Western,2023,1262100.0
355,Archer/Western,2020,800000.0
522,Archer/Western,2023,6840000.0
521,Archer/Western,2023,400000.0
356,Archer/Western,2020,5770000.0
299,Archer/Western,2019,200000.0
525,Archer/Western,2023,1369400.0
164,Austin Commercial,2018,3265000.0
593,Austin Commercial,2024,5800000.0
371,Austin Commercial,2021,3000000.0
292,Austin Commercial,2019,3265000.0
291,Austin Commercial,2019,435000.0
526,Austin Commercial,2023,11600000.0
73,Austin Commercial,2017,2140000.0
436,Austin Commercial,2022,6548400.0
438,Avalon Park/South Shore,2022,-5000.0
437,Avalon Park/South Shore,2022,2694600.0
346,Avalon Park/South Shore,2020,-22600.0
594,Avalon Park/South Shore,2024,5003600.0
527,Avalon Park/South Shore,2023,2501800.0
189,Avondale,2018,500000.0
12,Belmont/Central,2017,-2196700.0
595,Belmont/Central,2024,-9000000.0
110,Belmont/Central,2018,-2050000.0
324,Bronzeville,2020,3000000.0
105,Bronzeville,2018,3000000.0
104,Bronzeville,2018,1400000.0
236,Bronzeville,2019,1400000.0
237,Bronzeville,2019,3000000.0
30,Bronzeville,2017,2500000.0
204,Bronzeville,2018,400000.0
132,Bronzeville,2018,600000.0
9,Bryn Mawr/Broadway,2017,-297000.0
439,Bryn Mawr/Broadway,2022,11260200.0
315,Bryn Mawr/Broadway,2020,9581900.0
109,Bryn Mawr/Broadway,2018,-297000.0
372,Bryn Mawr/Broadway,2021,15289300.0
208,Canal/Congress,2018,-17000000.0
242,Canal/Congress,2019,-2000000.0
241,Canal/Congress,2019,2575200.0
529,Canal/Congress,2023,-2000000.0
243,Canal/Congress,2019,-8000000.0
528,Canal/Congress,2023,-12142900.0
650,Canal/Congress,2026,-24285800.0
633,Canal/Congress,2025,-24285800.0
596,Canal/Congress,2024,-24285800.0
202,Canal/Congress,2018,7300000.0
127,Canal/Congress,2018,-24000000.0
440,Central West,2022,-2500000.0
441,Central West,2022,-2000000.0
597,Chicago/Central Park,2024,6500000.0
95,Chicago/Central Park,2017,222900.0
442,Chicago/Central Park,2022,2788900.0
140,Chicago/Central Park,2018,1260000.0
634,Chicago/Central Park,2025,3250000.0
62,Chicago/Central Park,2017,919500.0
373,Chicago/Central Park,2021,5347500.0
133,Chicago/Central Park,2018,13547700.0
80,Chicago/Central Park,2017,1048200.0
67,Chicago/Central Park,2017,5699300.0
82,Chicago/Central Park,2017,385100.0
96,Chicago/Central Park,2017,1100000.0
170,Chicago/Central Park,2018,223000.0
93,Chicago/Central Park,2017,1690300.0
343,Chicago/Central Park,2020,12677300.0
181,Chicago/Central Park,2018,3100000.0
85,Chicago/Central Park,2017,1260000.0
443,Chicago/Central Park,2022,1024100.0
444,Cicero/Stevenson,2022,6600000.0
274,Commercial Avenue,2019,-425000.0
172,Commercial Avenue,2018,-2000000.0
598,Commercial Avenue,2024,1050000.0
445,Cortland and Chicago River,2022,5000000.0
447,Cortland and Chicago River,2022,13392000.0
378,Cortland and Chicago River,2021,1000000.0
379,Cortland and Chicago River,2021,7600000.0
376,Cortland and Chicago River,2021,24637200.0
375,Cortland and Chicago River,2021,5000000.0
366,Cortland and Chicago River,2020,100000.0
374,Cortland and Chicago River,2021,20131300.0
446,Cortland and Chicago River,2022,5000000.0
377,Cortland and Chicago River,2021,6046100.0
380,Devon/Sheridan,2021,1979200.0
448,Devon/Sheridan,2022,1190000.0
107,Devon/Sheridan,2018,-3111800.0
60,Devon/Sheridan,2017,-3111800.0
275,Devon/Sheridan,2019,-3111800.0
347,Devon/Sheridan,2020,1200200.0
157,Diversey/Chicago River,2018,5000.0
1,Diversey/Chicago River,2017,200000.0
311,Diversey/Chicago River,2019,176000.0
599,Diversey/Narragansett,2024,9000000.0
530,Diversey/Narragansett,2023,4500000.0
97,Edgewater/Ashland,2017,1500000.0
155,Edgewater/Ashland,2018,1400000.0
531,Englewood Mall Area,2023,3600000.0
600,Englewood Mall Area,2024,1800000.0
8,Englewood Mall Area,2017,175000.0
91,Englewood Neighborhood,2017,-175000.0
601,Englewood Neighborhood,2024,-1800000.0
264,Englewood Neighborhood,2019,-1587500.0
532,Englewood Neighborhood,2023,-3600000.0
77,Ewing Avenue,2017,1700000.0
78,Ewing Avenue,2017,-450000.0
171,Ewing Avenue,2018,-450000.0
533,Foster/Edens,2023,1250000.0
142,Foster and California,2018,375000.0
450,Foster and California,2022,300000.0
197,Foster and California,2018,733400.0
359,Foster and California,2020,515000.0
